Run,Assay Type,AvgSpotLen,Bases,Batch,BioProject,biopsy,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,study_arm,tissue
SRR12604122,RNA-Seq,300,13457985600,1,PRJNA662072,1,SAMN16073798,4173715423,GEO,public,"sra,fastq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX9087811,GSM4771076,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-08T00:00:00Z,GSM4771076,Vastus lateralis muscle,SRP280348,metPRT,Vastus lateralis muscle
SRR12604123,RNA-Seq,300,19666772400,1,PRJNA662072,3,SAMN16073797,6005748802,GEO,public,"fastq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX9087812,GSM4771077,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-08T00:00:00Z,GSM4771077,Vastus lateralis muscle,SRP280348,metPRT,Vastus lateralis muscle
SRR12604124,RNA-Seq,300,15128305500,1,PRJNA662072,3,SAMN16073796,4904604019,GEO,public,"fastq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX9087813,GSM4771078,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-08T00:00:00Z,GSM4771078,Vastus lateralis muscle,SRP280348,plaPRT,Vastus lateralis muscle
SRR12604125,RNA-Seq,300,10844097600,1,PRJNA662072,1,SAMN16073795,3258281846,GEO,public,"sra,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX9087814,GSM4771079,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-08T00:00:00Z,GSM4771079,Vastus lateralis muscle,SRP280348,plaPRT,Vastus lateralis muscle
SRR12604126,RNA-Seq,300,13558151100,1,PRJNA662072,1,SAMN16073794,4128404481,GEO,public,"sra,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX9087815,GSM4771080,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-08T00:00:00Z,GSM4771080,Vastus lateralis muscle,SRP280348,plaPRT,Vastus lateralis muscle
SRR12604127,RNA-Seq,300,12402594000,1,PRJNA662072,3,SAMN16073793,3815372102,GEO,public,"sra,fastq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX9087816,GSM4771081,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-08T00:00:00Z,GSM4771081,Vastus lateralis muscle,SRP280348,plaPRT,Vastus lateralis muscle
SRR12604128,RNA-Seq,300,21013581000,1,PRJNA662072,1,SAMN16073764,6570339632,GEO,public,"sra,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX9087817,GSM4771082,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-08T00:00:00Z,GSM4771082,Vastus lateralis muscle,SRP280348,metPRT,Vastus lateralis muscle
SRR12604129,RNA-Seq,300,28714870500,1,PRJNA662072,3,SAMN16073763,8932931281,GEO,public,"sra,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX9087818,GSM4771083,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-08T00:00:00Z,GSM4771083,Vastus lateralis muscle,SRP280348,metPRT,Vastus lateralis muscle
SRR12604130,RNA-Seq,300,10645672200,1,PRJNA662072,1,SAMN16073762,3228961154,GEO,public,"sra,fastq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX9087819,GSM4771084,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-08T00:00:00Z,GSM4771084,Vastus lateralis muscle,SRP280348,plaPRT,Vastus lateralis muscle
SRR12604131,RNA-Seq,300,16382934000,1,PRJNA662072,1,SAMN16073761,5164643790,GEO,public,"fastq,sra","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX9087820,GSM4771085,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-08T00:00:00Z,GSM4771085,Vastus lateralis muscle,SRP280348,metPRT,Vastus lateralis muscle
SRR12604132,RNA-Seq,300,15317538300,1,PRJNA662072,3,SAMN16073792,4762327519,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9087821,GSM4771086,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-08T00:00:00Z,GSM4771086,Vastus lateralis muscle,SRP280348,metPRT,Vastus lateralis muscle
SRR12604133,RNA-Seq,300,16483356600,1,PRJNA662072,1,SAMN16073791,5014527873,GEO,public,"fastq,sra","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX9087822,GSM4771087,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-08T00:00:00Z,GSM4771087,Vastus lateralis muscle,SRP280348,plaPRT,Vastus lateralis muscle
SRR12604134,RNA-Seq,300,15856916700,1,PRJNA662072,1,SAMN16073790,4947977092,GEO,public,"fastq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX9087823,GSM4771088,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-08T00:00:00Z,GSM4771088,Vastus lateralis muscle,SRP280348,metPRT,Vastus lateralis muscle
SRR12604135,RNA-Seq,300,11027154600,1,PRJNA662072,1,SAMN16073760,3413316315,GEO,public,"sra,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX9087824,GSM4771089,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-08T00:00:00Z,GSM4771089,Vastus lateralis muscle,SRP280348,metPRT,Vastus lateralis muscle
SRR12604136,RNA-Seq,300,13733302800,1,PRJNA662072,3,SAMN16073759,4239541813,GEO,public,"fastq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX9087825,GSM4771090,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-08T00:00:00Z,GSM4771090,Vastus lateralis muscle,SRP280348,metPRT,Vastus lateralis muscle
SRR12604137,RNA-Seq,300,24428243100,1,PRJNA662072,1,SAMN16073758,7396953005,GEO,public,"sra,fastq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX9087826,GSM4771091,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-08T00:00:00Z,GSM4771091,Vastus lateralis muscle,SRP280348,plaPRT,Vastus lateralis muscle
SRR12604138,RNA-Seq,300,20879268900,1,PRJNA662072,3,SAMN16073757,6337358134,GEO,public,"sra,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX9087827,GSM4771092,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-08T00:00:00Z,GSM4771092,Vastus lateralis muscle,SRP280348,plaPRT,Vastus lateralis muscle
SRR12604139,RNA-Seq,300,25028770200,1,PRJNA662072,1,SAMN16073756,7934701811,GEO,public,"sra,fastq","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX9087828,GSM4771093,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-08T00:00:00Z,GSM4771093,Vastus lateralis muscle,SRP280348,plaPRT,Vastus lateralis muscle
SRR12604140,RNA-Seq,300,16814163900,1,PRJNA662072,3,SAMN16073755,5149561808,GEO,public,"fastq,sra","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX9087829,GSM4771094,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-08T00:00:00Z,GSM4771094,Vastus lateralis muscle,SRP280348,plaPRT,Vastus lateralis muscle
SRR12604141,RNA-Seq,300,18908713800,1,PRJNA662072,1,SAMN16073754,5854854907,GEO,public,"fastq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX9087830,GSM4771095,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-08T00:00:00Z,GSM4771095,Vastus lateralis muscle,SRP280348,plaPRT,Vastus lateralis muscle
SRR12604142,RNA-Seq,300,17092331400,1,PRJNA662072,3,SAMN16073753,5206466137,GEO,public,"sra,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX9087831,GSM4771096,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-08T00:00:00Z,GSM4771096,Vastus lateralis muscle,SRP280348,plaPRT,Vastus lateralis muscle
SRR12604143,RNA-Seq,300,16063465800,1,PRJNA662072,1,SAMN16073752,4856658344,GEO,public,"sra,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX9087904,GSM4771097,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-08T00:00:00Z,GSM4771097,Vastus lateralis muscle,SRP280348,plaPRT,Vastus lateralis muscle
SRR12604144,RNA-Seq,300,14458354800,1,PRJNA662072,3,SAMN16073751,4481855287,GEO,public,"fastq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX9087905,GSM4771098,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-08T00:00:00Z,GSM4771098,Vastus lateralis muscle,SRP280348,plaPRT,Vastus lateralis muscle
SRR12604145,RNA-Seq,300,18347883900,1,PRJNA662072,1,SAMN16073750,5603807801,GEO,public,"fastq,sra","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX9087906,GSM4771099,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-08T00:00:00Z,GSM4771099,Vastus lateralis muscle,SRP280348,metPRT,Vastus lateralis muscle
SRR12604146,RNA-Seq,300,15401272200,1,PRJNA662072,3,SAMN16073749,4827385560,GEO,public,"sra,fastq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX9087907,GSM4771100,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-08T00:00:00Z,GSM4771100,Vastus lateralis muscle,SRP280348,metPRT,Vastus lateralis muscle
SRR12604147,RNA-Seq,300,14610029700,1,PRJNA662072,1,SAMN16073748,4482964877,GEO,public,"fastq,sra","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",SRX9087908,GSM4771101,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-08T00:00:00Z,GSM4771101,Vastus lateralis muscle,SRP280348,plaPRT,Vastus lateralis muscle
SRR12604148,RNA-Seq,300,16300499700,1,PRJNA662072,1,SAMN16073747,5014532532,GEO,public,"sra,fastq","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",SRX9087909,GSM4771102,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-08T00:00:00Z,GSM4771102,Vastus lateralis muscle,SRP280348,metPRT,Vastus lateralis muscle
SRR12604149,RNA-Seq,300,17008033200,1,PRJNA662072,3,SAMN16073746,5222162447,GEO,public,"sra,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX9087910,GSM4771103,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-08T00:00:00Z,GSM4771103,Vastus lateralis muscle,SRP280348,metPRT,Vastus lateralis muscle
SRR12604150,RNA-Seq,300,14208378000,1,PRJNA662072,1,SAMN16073745,4330551970,GEO,public,"fastq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX9087911,GSM4771104,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-08T00:00:00Z,GSM4771104,Vastus lateralis muscle,SRP280348,metPRT,Vastus lateralis muscle
SRR12604151,RNA-Seq,300,13774616400,1,PRJNA662072,3,SAMN16073744,4208838194,GEO,public,"fastq,sra","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX9087912,GSM4771105,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-08T00:00:00Z,GSM4771105,Vastus lateralis muscle,SRP280348,metPRT,Vastus lateralis muscle
SRR12604152,RNA-Seq,300,14136628200,1,PRJNA662072,1,SAMN16073743,4280815838,GEO,public,"sra,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX9087913,GSM4771106,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-08T00:00:00Z,GSM4771106,Vastus lateralis muscle,SRP280348,plaPRT,Vastus lateralis muscle
SRR12604153,RNA-Seq,300,16215143400,1,PRJNA662072,3,SAMN16073742,5016884638,GEO,public,"sra,fastq","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",SRX9087914,GSM4771107,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-09-08T00:00:00Z,GSM4771107,Vastus lateralis muscle,SRP280348,plaPRT,Vastus lateralis muscle
